"record_id","record_type","surface","artifact_or_entry","caller","gate","identity_or_user_scope","sink","runtime_or_result","missing_edge","classification","confidence","evidence","next_safe_step"
"P19D-OTA-OOBE-007","reconciliation","OTA / OOBE","5; 6J-6M-6N-6Q-6R-6U-6MN-6MO-6GU-6IF-6MM-6MD-6MK-6NE-6NI-6TM; 7-18","historical tests only","adb -s G001LT0511550CFT shell dumpsys package com.amazon.kindle.otter.oobe; adb -s G001LT0511550CFT shell settings get secure user_setup_complete; python3 tools/scripts/audit_phase6r_ota_oobe_authorization.py; python3 tools/scripts/audit_phase6mm_updater_blockimage_closure.py","P5-OTA-01; P6-OTA-OOBE-01; P6-UPDATER-01; P6-OOBE-USER-01","Protected/system-server OTA lifecycle and OOBE gates; fixed block-image/partition writer statically mapped; no ordinary caller or post-OTA handoff","No OTA/OOBE mutation or payload reboot; read-only baseline/manifests retained","Natural signed OTA post-state; fosinit handoff; numeric user; production caller","RECONCILED_NO_REPEAT","Confirmed","findings/phase-5-exact-ota-and-boot-chain-evidence.md; findings/phase-6j-oobe-ota-review.md; artifacts/phase6mm-updater-blockimage-20260810-01/; artifacts/phase6ni-system-context-oobe-scope-20260810-01/","Host-only reparse only; do not replay the historical device mutation"
"P19D-CVE-GHOSTLOCK-008","reconciliation","CVE / GhostLock","5AB-5AG-5AH-5B-5C-5D-5E-5H-5K-5U-5V; 6C-6E-6G-6IS-6NB-6SB-6HA-6ME-6RY-6QE","historical tests only","python3 tools/scripts/audit_phase6e_cve_surface.py; python3 tools/scripts/audit_phase6g_cmdq_surface.py; python3 tools/scripts/audit_phase6c_ghostlock_patch_chain.py; saved mtk-easy-su APK launch/read-only preflight","P5-LOWLEVEL-01; P5-CVE-MTK-01; P5-ACCESS-01","Source/config/patch/CVE/futex/rtmutex/CMDQ reachability reviewed; no confirmed retail privilege transition, root or GhostLock chain","No approved exploit mutation; APK/root attempt stopped at warning/preflight; no partition/bootloader mutation","Exact shipped caller to vulnerable sink; exact-image applicability; trigger/post-exploitation sink","RECONCILED_NO_REPEAT","Confirmed","findings/phase-5-evidence-index.md; findings/phase-5-mtk-easy-su-apk-test.md; findings/phase-6c-ghostlock-consistency-audit.md; output/tables/phase5u-cve-surface-matrix.csv","Host-only reparse only; do not replay the historical device mutation"
"P19D-DRIVER-ROOT-009","reconciliation","driver / root","5H-5K; 6BR-6G-6ME-6NB-6QE-6RY-6SB-6SE-6SF-6HA; P5 mtk-easy-su","historical tests only","python3 tools/scripts/audit_phase6me_driver_control_edges.py; saved read-only node/stat/SELinux/property captures; no open/ioctl/write command","P6-DRIVER-01; P5 mtk-easy-su APK/root tests","Exact-image node modes/labels/policy and source fops documented; native client/active branch/effect not joined; no uid=0/permissive SELinux/partition mutation","No driver/root mutation; read-only manifests and final device guards retained","Native client/domain and runtime branch; ioctl behavior/effect; accepted root transition","RECONCILED_NO_REPEAT","Confirmed","findings/phase-6br-amazon-kernel-user-surfaces.md; findings/phase-6sb-se-report.md; artifacts/phase6nb-amzn-drv-test-source-closure-20260810-01/; findings/phase-5-mtk-easy-su-root-test.md","Host-only reparse only; do not replay the historical device mutation"
"P19E-source_outer","provenance","source_outer","firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2","host-side provenance","version/product/hash alignment","product trona | not embedded","artifact identity only","version=Fire OS 7.3.3.1; security_patch=not embedded","2,563,328,975 bytes; 35 members; EOF reached; no execution","EXACT_PS7331_SOURCE","Confirmed","firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-source_platform","provenance","source_platform","firmware/extracted/PS7331-SOURCE-20250617/platform.tar","host-side provenance","version/product/hash alignment","platform trona/MT8183 | not embedded","artifact identity only","version=Fire OS 7.3.3.1; security_patch=not embedded","nested source member","EXACT_PS7331_NESTED_SOURCE","Confirmed","firmware/extracted/PS7331-SOURCE-20250617/platform.tar","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-source_fireos","provenance","source_fireos","firmware/extracted/PS7331-SOURCE-20250617/fireos.tar","host-side provenance","version/product/hash alignment","product trona | not embedded","artifact identity only","version=Fire OS 7.3.3.1; security_patch=not embedded","nested source member","EXACT_PS7331_NESTED_SOURCE","Confirmed","firmware/extracted/PS7331-SOURCE-20250617/fireos.tar","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-source_ps7330","provenance","source_ps7330","firmware/original/Fire_HD10-7.3.3.0-20240730.tar.bz2","host-side provenance","version/product/hash alignment","product trona | not embedded","artifact identity only","version=Fire OS 7.3.3.0; security_patch=2024-02-01","comparison source archive","EXACT_PS7330_SOURCE_NOT_PS7331","Confirmed","firmware/original/Fire_HD10-7.3.3.0-20240730.tar.bz2","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-kernel_config","provenance","kernel_config","artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config","host-side provenance","version/product/hash alignment","trona/MT8183 | not embedded","artifact identity only","version=PS7331.4463N; security_patch=2024-08-01","ARM64/Linux 4.4.146; FUTEX/RT_MUTEXES evidence","PS7331_CONFIG","Probable","artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-boot_img","provenance","boot_img","firmware/extracted/PS7331/boot.img","host-side provenance","version/product/hash alignment","trona/MT8183 | Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p;release-keys","artifact identity only","version=PS7331.4463N; security_patch=2024-08-01","adjacent/reference boot","PS7331_NOT_EXACT_PS7330","Confirmed","firmware/extracted/PS7331/boot.img","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-kernel_unpacked","provenance","kernel_unpacked","firmware/extracted/PS7331/boot_unpacked/kernel","host-side provenance","version/product/hash alignment","trona/MT8183 | PS7331 fingerprint family","artifact identity only","version=PS7331.4463N; security_patch=2024-08-01","unpacked kernel","PS7331_NOT_EXACT_PS7330","Confirmed","firmware/extracted/PS7331/boot_unpacked/kernel","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-kernel_Image","provenance","kernel_Image","firmware/extracted/PS7331/boot_unpacked/Image","host-side provenance","version/product/hash alignment","trona/MT8183 | PS7331 fingerprint family","artifact identity only","version=PS7331.4463N; security_patch=2024-08-01","ARM64 Image","PS7331_NOT_EXACT_PS7330","Confirmed","firmware/extracted/PS7331/boot_unpacked/Image","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-ota_bin","provenance","ota_bin","firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin","host-side provenance","version/product/hash alignment","trona | Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p;release-keys","artifact identity only","version=PS7331.4463N; security_patch=2024-08-01","full BLOCK OTA; release-keys","EXACT_PS7331_OTA","Confirmed","firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-ota_prop","provenance","ota_prop","firmware/extracted/PS7331/ota.prop","host-side provenance","version/product/hash alignment","trona | content above","artifact identity only","version=Fire OS 7.3.3.1 (PS7331.4463N/4463); security_patch=2024-08-01","release-keys; version_number 0031575863172","EXACT_PS7331_OTA_METADATA","Confirmed","firmware/extracted/PS7331/ota.prop","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-build_prop","provenance","build_prop","firmware/extracted/PS7331/system/build.prop","host-side provenance","version/product/hash alignment","trona/MT8183 | Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p;release-keys","artifact identity only","version=Fire OS 7.3.3.1; security_patch=2024-08-01","hash not recomputed under no-external-tool constraint","PS7331_CONTENT_HASH_GAP","Probable","firmware/extracted/PS7331/system/build.prop","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-selected_manifest","provenance","selected_manifest","firmware/extracted/PS7331/selected/manifest.sha256","host-side provenance","version/product/hash alignment","trona | PS7331 fingerprint family","artifact identity only","version=PS7331.4463N; security_patch=2024-08-01","hash of extraction-manifest.tsv","EXACT_PS7331_SELECTED_MANIFEST","Confirmed","firmware/extracted/PS7331/selected/manifest.sha256","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-compiled_manifest","provenance","compiled_manifest","firmware/extracted/PS7331/compiled-02/manifest.sha256","host-side provenance","version/product/hash alignment","trona | PS7331 fingerprint family","artifact identity only","version=PS7331.4463N; security_patch=2024-08-01","hash of extraction-manifest.tsv","EXACT_PS7331_COMPILED_MANIFEST","Confirmed","firmware/extracted/PS7331/compiled-02/manifest.sha256","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-runtime_baseline","provenance","runtime_baseline","device/baseline/BASELINE-20260803-04/device_properties.txt","host-side provenance","version/product/hash alignment","trona/KFTRWI | Amazon/trona/trona:9/PS7330.4104N/0030099376128:user/amz-p;release-keys","artifact identity only","version=PS7330.4104N; security_patch=2024-02-01","saved 2026-08-03 baseline; no live recheck","EXACT_PS7330_RUNTIME_BASELINE","Confirmed","device/baseline/BASELINE-20260803-04/device_properties.txt","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
"P19E-runtime_ps7331_logs","provenance","runtime_ps7331_logs","logs/device-safe-verify-20260810-095532/fingerprint.txt","host-side provenance","version/product/hash alignment","trona | Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p;release-keys","artifact identity only","version=PS7331.4463N; security_patch=2024-08-01","saved log; not re-collected in Phase 19E","EXACT_PS7331_SAVED_RUNTIME_SLICE","Confirmed","logs/device-safe-verify-20260810-095532/fingerprint.txt","Keep exact-version boundaries; do not treat PS7331 artifacts as PS7330 runtime proof"
